Molecule ChEMBL ID,Smiles,pIC50,Selfies,Class,index
CHEMBL2296430,C[C@H](N)C(=O)Nc1cc(NC(=O)/C=C/c2ccc(O)c(O)c2)ccc1O,3.978810701,[C][C@H1][Branch1][C][N][C][=Branch1][C][=O][N][C][=C][C][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][=C][C][=C][Ring2][Ring1][Ring1][O],0,731
CHEMBL3342471,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccccc2)[C@H]1NC(C)=O,8.148741651,[C][C][C][Branch1][Ring1][C][C][O][C@@H1][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Ring1][P][N][C][Branch1][C][C][=O],1,429
CHEMBL2041482,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N1CCOCC1,3.286509457,[C][C][=Branch1][C][=O][N][C@H1][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][C@@H1][Ring1][#C][N][C][C][O][C][C][Ring1][=Branch1],0,120
CHEMBL3818654,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CNC(=O)C2CC2)OC(C(=O)O)=C[C@@H]1NC(=N)N,8.625251654,[C][C][=Branch1][C][=O][N][C@H1][C@H1][Branch2][Ring1][Ring2][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][N][C][=Branch1][C][=O][C][C][C][Ring1][Ring1][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][C@@H1][Ring2][Ring1][Ring2][N][C][=Branch1][C][=N][N],1,98
CHEMBL3104597,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCOCCSC2(C(=O)O)C[C@H](N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1N,4.677780705,[C][C][=Branch1][C][=O][N][C@H1][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][C][Branch2][Branch1][Branch2][S][C][C][O][C][C][O][C][C][O][C][C][O][C][C][S][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][N][C@@H1][Branch1][#Branch1][N][C][Branch1][C][C][=O][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][Ring2][Ring1][Ring2][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][Ring2][Branch1][Ring1][N],0,165
CHEMBL3290234,CCOC(=O)C1C(=O)NC(N)=NC1c1ccc(F)cc1,3.839831707,[C][C][O][C][=Branch1][C][=O][C][C][=Branch1][C][=O][N][C][Branch1][C][N][=N][C][Ring1][Branch2][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],0,611
CHEMBL3342481,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccccc2OCc2ccco2)[C@H]1NC(C)=O,7.229147988,[C][C][C][Branch1][Ring1][C][C][O][C@@H1][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch2][Ring1][Ring2][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][=C][C][=C][O][Ring1][Branch1][C@H1][Ring2][Ring1][Branch2][N][C][Branch1][C][C][=O],1,435
CHEMBL674,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,10.0,[C][C][C][Branch1][Ring1][C][C][O][C@@H1][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][N][C@H1][Ring1][#Branch2][N][C][Branch1][C][C][=O],1,334
CHEMBL458768,COC(=O)c1ccc(NC(C)=O)cc1O,6.004364805,[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][=C][Ring1][#Branch2][O],1,678
CHEMBL3951068,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)NC(=O)CSc1ccc2ccccc2c1,7.698970004,[C][C][=Branch1][C][=O][N][C@H1][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][C@@H1][Ring1][#C][N][C][=Branch1][C][=N][N][C][=Branch1][C][=O][C][S][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2],1,122
CHEMBL4545891,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(-c3c(C)noc3C)o2)[C@H]1NC(C)=O,8.787812396,[C][C][C][Branch1][Ring1][C][C][O][C@@H1][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch2][Ring1][#Branch1][N][C][C][=C][C][=C][Branch1][N][C][C][Branch1][C][C][=N][O][C][=Ring1][=Branch1][C][O][Ring1][N][C@H1][Ring2][Ring1][#Branch1][N][C][Branch1][C][C][=O],1,364
